time,temperature,pressure,altitude,errorLog
344158,-1,1016.276,-0.9825516,0
344168,-1,1016.245,-0.1680832,0
344178,-1,1016.215,0.6463776,0
344188,-1,1016.105,3.661629,0
344198,-1,1016.266,-0.7399445,0
344209,21.77012,1016.256,-0.462677,0
344220,-1,1016.245,-0.1680832,0
344229,-1,1016.175,1.738106,0
344239,21.7747,1016.205,0.9409714,0
344248,-1,1016.307,-1.831673,0
344259,21.77012,1016.367,-3.477928,0
344270,-1,1016.235,0.1091766,0
344280,-1,1016.266,-0.7399445,0
344289,-1,1016.235,0.1091766,0
344299,-1,1016.286,-1.277145,0
344309,-1,1016.245,-0.1680832,0
344320,21.77012,1016.186,1.460846,0
344330,-1,1016.256,-0.462677,0
344339,-1,1016.307,-1.831673,0
344349,-1,1016.307,-1.831673,0
344359,21.77928,1016.286,-1.277145,0
344370,21.77928,1016.235,0.1091766,0
344379,-1,1016.245,-0.1680832,0
344390,-1,1016.165,2.0327,0
344400,21.7747,1016.186,1.460846,0
344411,21.77012,1016.266,-0.7399445,0
344421,-1,1016.226,0.3517838,0
344431,-1,1016.245,-0.1680832,0
344442,-1,1016.245,-0.1680832,0
344451,-1,1016.326,-2.368874,0
344461,-1,1016.245,-0.1680832,0
344472,-1,1016.245,-0.1680832,0
344481,-1,1016.256,-0.462677,0
344490,-1,1016.245,-0.1680832,0
344501,-1,1016.215,0.6463776,0
344512,21.77012,1016.336,-2.646141,0
344521,-1,1016.367,-3.477928,0
344531,-1,1016.266,-0.7399445,0
344541,-1,1016.165,2.0327,0
344551,-1,1016.256,-0.462677,0
344562,-1,1016.358,-3.235329,0
344572,-1,1016.387,-4.032463,0
344582,-1,1016.245,-0.1680832,0
344592,-1,1016.245,-0.1680832,0
344603,-1,1016.307,-1.831673,0
344612,-1,1016.307,-1.831673,0
344623,21.77012,1016.296,-1.554413,0
344633,-1,1016.205,0.9409714,0
344643,-1,1016.326,-2.368874,0
344653,-1,1016.277,-1.034538,0
344664,21.77928,1016.266,-0.7399445,0
344673,-1,1016.377,-3.755196,0
344683,-1,1016.266,-0.7399445,0
344694,21.77012,1016.226,0.3517838,0
344703,-1,1016.245,-0.1680832,0
344713,-1,1016.266,-0.7399445,0
344724,-1,1016.307,-1.831673,0
344734,-1,1016.296,-1.554413,0
344744,-1,1016.186,1.460846,0
344754,-1,1016.215,0.6463776,0
344765,-1,1016.186,1.460846,0
344775,21.77012,1016.205,0.9409714,0
344784,-1,1016.165,2.0327,0
344794,-1,1016.205,0.9409714,0
344805,21.77928,1016.215,0.6463776,0
344816,-1,1016.326,-2.368874,0
344826,-1,1016.165,2.0327,0
344836,-1,1016.256,-0.462677,0
344845,-1,1016.317,-2.126266,0
344855,-1,1016.205,0.9409714,0
344865,-1,1016.266,-0.7399445,0
344885,21.7747,1016.205,0.9409714,0
344896,-1,1016.266,-0.7399445,0
344905,-1,1016.307,-1.831673,0
344916,21.77928,1016.286,-1.277145,0
344926,-1,1016.347,-2.940735,0
344937,21.77012,1016.266,-0.7399445,0
344947,-1,1016.266,-0.7399445,0
344957,-1,1016.124,3.124428,0
344967,-1,1016.307,-1.831673,0
344976,-1,1016.175,1.738106,0
344987,-1,1016.186,1.460846,0
344996,-1,1016.236,0.0745163,0
345007,21.77012,1016.347,-2.940735,0
345018,-1,1016.215,0.6463776,0
345027,-1,1016.247,-0.2027435,0
345037,-1,1016.286,-1.277145,0
345048,21.77012,1016.245,-0.1680832,0
345057,-1,1016.245,-0.1680832,0
345068,-1,1016.245,-0.1680832,0
345077,-1,1016.205,0.9409714,0
345088,21.77928,1016.266,-0.7399445,0
345098,-1,1016.287,-1.311806,0
345109,21.77928,1016.205,0.9409714,0
345118,-1,1016.266,-0.7399445,0
345129,-1,1016.205,0.9409714,0
345138,-1,1016.205,0.9409714,0
345148,-1,1016.245,-0.1680832,0
345159,21.77928,1016.266,-0.7399445,0
345169,-1,1016.205,0.9409714,0
345179,-1,1016.326,-2.368874,0
345189,-1,1016.226,0.3517838,0
345199,-1,1016.245,-0.1680832,0
345209,21.77928,1016.245,-0.1680832,0
345220,-1,1016.245,-0.1680832,0
345230,-1,1016.175,1.738106,0
345241,-1,1016.256,-0.462677,0
345250,-1,1016.326,-2.368874,0
345260,-1,1016.245,-0.1680832,0
345270,-1,1016.215,0.6463776,0
345280,-1,1016.175,1.738106,0
345291,21.7747,1016.215,0.6463776,0
345300,-1,1016.307,-1.831673,0
345310,-1,1016.245,-0.1680832,0
345321,21.77928,1016.226,0.3517838,0
345331,-1,1016.186,1.460846,0
345341,-1,1016.226,0.3517838,0
345351,-1,1016.186,1.460846,0
345362,-1,1016.226,0.3517838,0
345370,-1,1016.296,-1.554413,0
345381,-1,1016.186,1.460846,0
345391,-1,1016.165,2.0327,0
345401,-1,1016.266,-0.7399445,0
345412,21.77012,1016.287,-1.311806,0
345421,-1,1016.266,-0.7399445,0
345431,-1,1016.266,-0.7399445,0
345441,-1,1016.266,-0.7399445,0
345451,-1,1016.186,1.460846,0
345462,21.77928,1016.175,1.738106,0
345472,-1,1016.226,0.3517838,0
345482,-1,1016.307,-1.831673,0
345492,-1,1016.226,0.3517838,0
345502,-1,1016.277,-1.034538,0
345513,-1,1016.205,0.9409714,0
345523,-1,1016.347,-2.940735,0
345533,21.77012,1016.145,2.552574,0
345543,-1,1016.196,1.166252,0
345552,-1,1016.317,-2.126266,0
345562,-1,1016.328,-2.403534,0
345572,-1,1016.226,0.3517838,0
345583,21.77928,1016.266,-0.7399445,0
345593,-1,1016.186,1.460846,0
345603,-1,1016.245,-0.1680832,0
345614,-1,1016.226,0.3517838,0
345623,-1,1016.266,-0.7399445,0
345634,21.77928,1016.438,-5.436111,0
345644,-1,1016.407,-4.569664,0
345654,-1,1016.317,-2.126266,0
345665,21.77928,1016.277,-1.034538,0
345674,-1,1016.307,-1.831673,0
345684,21.78844,1016.277,-1.034538,0
345694,-1,1016.205,0.9409714,0
345704,-1,1016.358,-3.235329,0
345715,-1,1016.266,-0.7399445,0
345726,21.77928,1016.226,0.3517838,0
345736,-1,1016.186,1.460846,0
345745,-1,1016.307,-1.831673,0
345755,-1,1016.205,0.9409714,0
345765,-1,1016.266,-0.7399445,0
345775,-1,1016.126,3.089767,0
345785,-1,1016.277,-1.034538,0
345795,-1,1016.186,1.460846,0
345805,-1,1016.207,0.8889847,0
345816,21.78844,1016.347,-2.940735,0
345826,-1,1016.266,-0.7399445,0
345837,21.78386,1016.186,1.460846,0
345846,-1,1016.236,0.0745163,0
345857,-1,1016.307,-1.831673,0
345868,-1,1016.166,1.980713,0
345878,-1,1016.266,-0.7399445,0
345889,-1,1016.236,0.0745163,0
345899,-1,1016.368,-3.512589,0
345909,-1,1016.266,-0.7399445,0
345919,-1,1016.236,0.0745163,0
345930,-1,1016.328,-2.403534,0
345942,21.77928,1016.368,-3.512589,0
345952,21.77928,1016.145,2.552574,0
345962,-1,1016.196,1.166252,0
345972,-1,1016.166,1.980713,0
345983,21.78386,1016.387,-4.032463,0
345993,-1,1016.368,-3.512589,0
346003,-1,1016.186,1.460846,0
346013,-1,1016.226,0.3517838,0
346024,21.77928,1016.226,0.3517838,0
346033,-1,1016.307,-1.831673,0
346044,21.78844,1016.166,1.980713,0
346054,-1,1016.236,0.0745163,0
346064,-1,1016.186,1.460846,0
346073,-1,1016.186,1.460846,0
346084,21.78386,1016.266,-0.7399445,0
346094,-1,1016.236,0.0745163,0
346104,-1,1016.266,-0.7399445,0
346114,-1,1016.336,-2.646141,0
346124,-1,1016.205,0.9409714,0
346135,-1,1016.145,2.552574,0
